,model_name,test_dataset,train_dataset,frames_per_video_test,clip_size,elapsed_time,frame_auc,video_auc
73,xception,ConfDF_norm_v2_th-m,ff-orig,32,,1.8009753227233887,0.945927734375,0.97
74,clip_base,ConfDF_norm_v2_th-m,df40-fr-ff,32,,3.3927502632141113,0.798583984375,0.8700000000000001
75,clip_base,ConfDF_norm_v2_th-m,df40-all-ff,32,,3.389630079269409,0.9838281249999999,1.0
76,core,ConfDF_norm_v2_th-m,ff-orig,32,,2.086918354034424,0.9821093750000001,1.0
77,rfm,ConfDF_norm_v2_th-m,df40-fr-ff,32,,2.1274726390838623,0.642294921875,0.6799999999999999
78,xception,ConfDF_norm_v2_th-m,df40-fs-ff,32,,1.8195793628692627,0.837998046875,0.9
79,rfm,ConfDF_norm_v2_th-m,df40-fs-ff,32,,2.107599973678589,0.9030126953125,0.9600000000000001
80,recce,ConfDF_norm_v2_th-m,ff-orig,32,,3.6353116035461426,0.950224609375,0.97
81,xception,ConfDF_norm_v2_th-m,df40-all-ff,32,,1.8119127750396729,0.85451171875,0.8700000000000001
82,capsule_net,ConfDF_norm_v2_th-m,ff-orig,32,,2.6428678035736084,0.7850146484375,0.75
83,i3d,ConfDF_norm_v2_th-m,df40-fs-ff,32,32.0,1.8233468532562256,0.6945679012345679,0.9
84,srm,ConfDF_norm_v2_th-m,ff-orig,32,,4.1594908237457275,0.948896484375,0.9500000000000001
85,clip_large,ConfDF_norm_v2_th-m,df40-fs-ff,8,,3.482403516769409,0.97859375,0.97
86,spsl,ConfDF_norm_v2_th-m,df40-fs-ff,32,,2.1171071529388428,0.79189453125,0.8799999999999999
87,efficientnetb4,ConfDF_norm_v2_th-m,ff-orig,32,,2.957782745361328,0.8938378906250001,0.93
88,xception,ConfDF_norm_v2_th-m,df40-fr-ff,32,,1.8242015838623047,0.7361523437499999,0.75
89,recce,ConfDF_norm_v2_th-m,df40-fr-ff,32,,3.904358148574829,0.6845410156249999,0.73
90,effort,ConfDF_norm_v2_th-m,ff-orig,8,,3.6699373722076416,0.9985937500000001,1.0
91,clip_base,ConfDF_norm_v2_th-m,df40-fs-ff,32,,3.3966281414031982,0.9626269531249999,0.99
92,clip_large,ConfDF_norm_v2_th-m,df40-fr-ff,8,,3.4819862842559814,0.96859375,1.0
93,i3d,ConfDF_norm_v2_th-m,df40-all-ff,32,32.0,1.8454687595367432,0.5524691358024693,0.53
94,meso4incep,ConfDF_norm_v2_th-m,ff-orig,32,,1.161851167678833,0.633203125,0.6900000000000001
95,meso4,ConfDF_norm_v2_th-m,ff-orig,32,,1.1351490020751953,0.51685546875,0.53
96,srm,ConfDF_norm_v2_th,ff-orig,32,,4.104923248291016,0.948896484375,0.9500000000000001
97,meso4incep,ConfDF_norm_v2_th,ff-orig,32,,1.1023993492126465,0.633203125,0.6900000000000001
98,xception,ConfDF_norm_v2_th,df40-fs-ff,32,,1.8025639057159424,0.837998046875,0.9
99,clip_base,ConfDF_norm_v2_th,df40-all-ff,32,,3.296966552734375,0.9838281249999999,1.0
100,clip_large,ConfDF_norm_v2_th,df40-fr-ff,8,,3.4131503105163574,0.96859375,1.0
101,spsl,ConfDF_norm_v2_th,ff-orig,32,,2.1138455867767334,0.916484375,0.93
102,meso4,ConfDF_norm_v2_th,ff-orig,32,,1.0608015060424805,0.51685546875,0.53
103,f3net,ConfDF_norm_v2_th,ff-orig,32,,2.2831833362579346,0.91173828125,0.9299999999999999
104,clip_base,ConfDF_norm_v2_th,df40-fr-ff,32,,3.3054521083831787,0.798583984375,0.8700000000000001
105,spsl,ConfDF_norm_v2_th,df40-fs-ff,32,,2.086796998977661,0.79189453125,0.8799999999999999
106,clip_large,ConfDF_norm_v2_th,df40-fs-ff,8,,3.415821075439453,0.97859375,0.97
107,i3d,ConfDF_norm_v2_th,df40-all-ff,32,32.0,1.9998595714569092,0.5524691358024693,0.53
108,recce,ConfDF_norm_v2_th,ff-orig,32,,3.59053897857666,0.950224609375,0.97
109,srm,ConfDF_norm_v2_th,df40-fs-ff,32,,4.08415961265564,0.8654296875,0.89
110,spsl,ConfDF_norm_v2_th,df40-fr-ff,32,,2.0750646591186523,0.628564453125,0.69
111,efficientnetb4,ConfDF_norm_v2_th,ff-orig,32,,2.891187906265259,0.8938378906250001,0.93
112,clip_large,ConfDF_norm_v2_th,df40-all-ff,8,,3.4111337661743164,0.9964062499999999,1.0
113,xception,ConfDF_norm_v2_th,df40-fr-ff,32,,1.7780005931854248,0.7361523437499999,0.75
114,core,ConfDF_norm_v2_th,ff-orig,32,,2.0422921180725098,0.9821093750000001,1.0
115,rfm,ConfDF_norm_v2_th,df40-fs-ff,32,,2.0487685203552246,0.9030126953125,0.9600000000000001
116,recce,ConfDF_norm_v2_th,df40-fs-ff,32,,3.563645601272583,0.7318749999999998,0.7900000000000001
117,i3d,ConfDF_norm_v2_th,df40-fs-ff,32,32.0,1.7882003784179688,0.6945679012345679,0.9
118,rfm,ConfDF_norm_v2_th,df40-fr-ff,32,,2.039987325668335,0.642294921875,0.6799999999999999
119,xception,ConfDF_norm_v2_th,df40-all-ff,32,,1.790558099746704,0.85451171875,0.8700000000000001
120,ucf,ConfDF_norm_v2_th,ff-orig,32,,3.1048624515533447,0.9493652343749999,0.9600000000000001
121,capsule_net,ConfDF_norm_v2_th,ff-orig,32,,2.629006862640381,0.7850146484375,0.75
122,effort,ConfDF_norm_v2_th,ff-orig,8,,3.5865378379821777,0.9985937500000001,1.0
123,i3d,ConfDF_norm_v2_th,df40-fr-ff,32,32.0,1.8010451793670654,0.5682098765432099,0.59
