,model_name,test_dataset,train_dataset,frames_per_video_test,clip_size,elapsed_time,frame_auc,video_auc
30,i3d,FSAll_cdf,df40-fs-ff,32,32.0,256.3927490711212,0.9672311034985586,0.9719382766898399
31,clip_base,FSAll_cdf,df40-fr-ff,32,,913.4620583057404,0.6384230591725149,0.6624189850847649
32,rfm,FRAll_cdf,df40-fs-ff,32,,659.8789973258972,0.6368246717661974,0.6707167440313507
33,xception,FRAll_cdf,df40-fr-ff,32,,654.7314548492432,0.844539182297323,0.9043902650644224
34,meso4,FRAll_cdf,ff-orig,32,,181.09570932388306,0.46711654566466687,0.4614637109019132
35,i3d,FRAll_cdf,df40-fs-ff,32,32.0,333.20863127708435,0.8355253405388587,0.8471594552388314
36,capsule_net,FRAll_cdf,ff-orig,32,,929.1982824802399,0.6948549961431261,0.7392202796697178
37,core,FRAll_cdf,ff-orig,32,,648.0383026599884,0.6410653891103955,0.6793566439633856
38,xception,FRAll_cdf,ff-orig,32,,653.9739851951599,0.6484046948220078,0.6938520382340607
39,spsl,FRAll_cdf,df40-fs-ff,32,,670.0141685009003,0.6562721410730693,0.6969777160788396
40,clip_base,FRAll_cdf,df40-fs-ff,32,,1315.1423618793488,0.74416488282028,0.7724191285989037
41,spsl,FRAll_cdf,ff-orig,32,,670.0673933029175,0.6473038882884752,0.7031300160513643
42,spsl,FRAll_cdf,df40-fr-ff,32,,668.8081767559052,0.8460446262716924,0.8867258108831142
43,clip_large,FRAll_cdf,df40-fr-ff,8,,1408.0401480197906,0.9240979335317968,0.950372001214698
44,f3net,FRAll_cdf,ff-orig,32,,687.336620092392,0.6495334231155137,0.6728695790493544
45,srm,FRAll_cdf,df40-fr-ff,32,,1590.4381756782532,0.8621714127945949,0.8918947840296156
46,i3d,FRAll_cdf,df40-all-ff,32,32.0,339.98862075805664,0.9448947713651408,0.9533995416348358
47,recce,FRAll_cdf,ff-orig,32,,1357.4698588848114,0.6710194451268663,0.7100631932092607
48,xception,FRAll_cdf,df40-all-ff,32,,663.661707162857,0.8203263718870605,0.8469404798056483
49,clip_large,FRAll_cdf,df40-fs-ff,8,,1409.8490269184113,0.7471603911976941,0.7918600783769323
50,ucf,FRAll_cdf,ff-orig,32,,1189.3166086673737,0.676301504848731,0.7044329240958455
51,efficientnetb4,FRAll_cdf,ff-orig,32,,1046.5691783428192,0.6819802829865939,0.717727719694012
52,meso4incep,FRAll_cdf,ff-orig,32,,198.635596036911,0.6446707484608712,0.6905998293638743
53,xception,FRAll_cdf,df40-fs-ff,32,,654.8140268325806,0.6568433967586348,0.6823463913351554
54,i3d,FRAll_cdf,df40-fr-ff,32,32.0,333.11080598831177,0.9633917999263915,0.9693563746540357
55,recce,FRAll_cdf,df40-fr-ff,32,,1400.6508691310883,0.8749378154129495,0.8909378479603198
56,clip_base,FRAll_cdf,df40-fr-ff,32,,1315.7785878181458,0.9328802726088566,0.950935606553584
57,rfm,FRAll_cdf,df40-fr-ff,32,,656.5697984695435,0.875322349993964,0.8958790652610877
58,srm,FRAll_cdf,df40-fs-ff,32,,1592.1622903347015,0.6212080492116423,0.6435577632206846
59,effort,FRAll_cdf,ff-orig,8,,1404.2418842315674,0.6830950332783575,0.7091254175523838
60,clip_large,FRAll_cdf,df40-all-ff,8,,1410.9885966777802,0.8956935020789453,0.9263726808670629
61,clip_base,FRAll_cdf,df40-all-ff,32,,1315.2211327552795,0.9259832888972997,0.9451690454499443
62,recce,FRAll_cdf,df40-fs-ff,32,,1358.242031097412,0.6321083527373388,0.6660390727806458
63,srm,FRAll_cdf,ff-orig,32,,1591.887680530548,0.6754519431445809,0.7453020837852298
